Generations,PopulationSize,SelectionCoefficient,StartAlleleFrequency,NumAlleles,AlleleFrequency
0,150,0.0015,0.6,90,0.6
1,150,0.0015,0.6,97,0.6466666666666666
2,150,0.0015,0.6,95,0.6333333333333333
3,150,0.0015,0.6,103,0.6866666666666666
4,150,0.0015,0.6,112,0.7466666666666667
5,150,0.0015,0.6,109,0.7266666666666667
6,150,0.0015,0.6,114,0.76
7,150,0.0015,0.6,118,0.7866666666666666
8,150,0.0015,0.6,118,0.7866666666666666
9,150,0.0015,0.6,117,0.78
10,150,0.0015,0.6,112,0.7466666666666667
11,150,0.0015,0.6,123,0.82
12,150,0.0015,0.6,124,0.8266666666666667
13,150,0.0015,0.6,124,0.8266666666666667
14,150,0.0015,0.6,123,0.82
15,150,0.0015,0.6,123,0.82
16,150,0.0015,0.6,119,0.7933333333333333
17,150,0.0015,0.6,120,0.8
18,150,0.0015,0.6,127,0.8466666666666667
19,150,0.0015,0.6,128,0.8533333333333334
20,150,0.0015,0.6,132,0.88
21,150,0.0015,0.6,131,0.8733333333333333
22,150,0.0015,0.6,134,0.8933333333333333
23,150,0.0015,0.6,132,0.88
24,150,0.0015,0.6,132,0.88
25,150,0.0015,0.6,133,0.8866666666666667
26,150,0.0015,0.6,138,0.92
27,150,0.0015,0.6,135,0.9
28,150,0.0015,0.6,138,0.92
29,150,0.0015,0.6,143,0.9533333333333334
30,150,0.0015,0.6,143,0.9533333333333334
31,150,0.0015,0.6,141,0.94
32,150,0.0015,0.6,144,0.96
33,150,0.0015,0.6,147,0.98
34,150,0.0015,0.6,147,0.98
35,150,0.0015,0.6,145,0.9666666666666667
36,150,0.0015,0.6,142,0.9466666666666667
37,150,0.0015,0.6,146,0.9733333333333334
38,150,0.0015,0.6,149,0.9933333333333333
39,150,0.0015,0.6,149,0.9933333333333333
40,150,0.0015,0.6,150,1
41,150,0.0015,0.6,150,1
42,150,0.0015,0.6,150,1
43,150,0.0015,0.6,150,1
44,150,0.0015,0.6,150,1
45,150,0.0015,0.6,150,1
46,150,0.0015,0.6,150,1
47,150,0.0015,0.6,150,1
48,150,0.0015,0.6,150,1
49,150,0.0015,0.6,150,1
50,150,0.0015,0.6,150,1
51,150,0.0015,0.6,150,1
52,150,0.0015,0.6,150,1
53,150,0.0015,0.6,150,1
54,150,0.0015,0.6,150,1
55,150,0.0015,0.6,150,1
56,150,0.0015,0.6,150,1
57,150,0.0015,0.6,150,1
58,150,0.0015,0.6,150,1
59,150,0.0015,0.6,150,1
60,150,0.0015,0.6,150,1
61,150,0.0015,0.6,150,1
62,150,0.0015,0.6,150,1
63,150,0.0015,0.6,150,1
64,150,0.0015,0.6,150,1
65,150,0.0015,0.6,150,1
66,150,0.0015,0.6,150,1
67,150,0.0015,0.6,150,1
68,150,0.0015,0.6,150,1
69,150,0.0015,0.6,150,1
70,150,0.0015,0.6,150,1
71,150,0.0015,0.6,150,1
72,150,0.0015,0.6,150,1
73,150,0.0015,0.6,150,1
74,150,0.0015,0.6,150,1
75,150,0.0015,0.6,150,1
76,150,0.0015,0.6,150,1
77,150,0.0015,0.6,150,1
78,150,0.0015,0.6,150,1
79,150,0.0015,0.6,150,1
80,150,0.0015,0.6,150,1
81,150,0.0015,0.6,150,1
82,150,0.0015,0.6,150,1
83,150,0.0015,0.6,150,1
84,150,0.0015,0.6,150,1
85,150,0.0015,0.6,150,1
86,150,0.0015,0.6,150,1
87,150,0.0015,0.6,150,1
88,150,0.0015,0.6,150,1
89,150,0.0015,0.6,150,1
90,150,0.0015,0.6,150,1
91,150,0.0015,0.6,150,1
92,150,0.0015,0.6,150,1
93,150,0.0015,0.6,150,1
94,150,0.0015,0.6,150,1
95,150,0.0015,0.6,150,1
96,150,0.0015,0.6,150,1
97,150,0.0015,0.6,150,1
98,150,0.0015,0.6,150,1
99,150,0.0015,0.6,150,1
100,150,0.0015,0.6,150,1
101,150,0.0015,0.6,150,1
102,150,0.0015,0.6,150,1
103,150,0.0015,0.6,150,1
104,150,0.0015,0.6,150,1
105,150,0.0015,0.6,150,1
106,150,0.0015,0.6,150,1
107,150,0.0015,0.6,150,1
108,150,0.0015,0.6,150,1
109,150,0.0015,0.6,150,1
110,150,0.0015,0.6,150,1
111,150,0.0015,0.6,150,1
112,150,0.0015,0.6,150,1
113,150,0.0015,0.6,150,1
114,150,0.0015,0.6,150,1
115,150,0.0015,0.6,150,1
116,150,0.0015,0.6,150,1
117,150,0.0015,0.6,150,1
118,150,0.0015,0.6,150,1
119,150,0.0015,0.6,150,1
120,150,0.0015,0.6,150,1
121,150,0.0015,0.6,150,1
122,150,0.0015,0.6,150,1
123,150,0.0015,0.6,150,1
124,150,0.0015,0.6,150,1
125,150,0.0015,0.6,150,1
126,150,0.0015,0.6,150,1
127,150,0.0015,0.6,150,1
128,150,0.0015,0.6,150,1
129,150,0.0015,0.6,150,1
130,150,0.0015,0.6,150,1
131,150,0.0015,0.6,150,1
132,150,0.0015,0.6,150,1
133,150,0.0015,0.6,150,1
134,150,0.0015,0.6,150,1
135,150,0.0015,0.6,150,1
136,150,0.0015,0.6,150,1
137,150,0.0015,0.6,150,1
138,150,0.0015,0.6,150,1
139,150,0.0015,0.6,150,1
140,150,0.0015,0.6,150,1
141,150,0.0015,0.6,150,1
142,150,0.0015,0.6,150,1
143,150,0.0015,0.6,150,1
144,150,0.0015,0.6,150,1
145,150,0.0015,0.6,150,1
146,150,0.0015,0.6,150,1
147,150,0.0015,0.6,150,1
148,150,0.0015,0.6,150,1
149,150,0.0015,0.6,150,1
150,150,0.0015,0.6,150,1
151,150,0.0015,0.6,150,1
152,150,0.0015,0.6,150,1
153,150,0.0015,0.6,150,1
154,150,0.0015,0.6,150,1
155,150,0.0015,0.6,150,1
156,150,0.0015,0.6,150,1
157,150,0.0015,0.6,150,1
158,150,0.0015,0.6,150,1
159,150,0.0015,0.6,150,1
160,150,0.0015,0.6,150,1
161,150,0.0015,0.6,150,1
162,150,0.0015,0.6,150,1
163,150,0.0015,0.6,150,1
164,150,0.0015,0.6,150,1
165,150,0.0015,0.6,150,1
166,150,0.0015,0.6,150,1
167,150,0.0015,0.6,150,1
168,150,0.0015,0.6,150,1
169,150,0.0015,0.6,150,1
170,150,0.0015,0.6,150,1
171,150,0.0015,0.6,150,1
172,150,0.0015,0.6,150,1
173,150,0.0015,0.6,150,1
174,150,0.0015,0.6,150,1
175,150,0.0015,0.6,150,1
176,150,0.0015,0.6,150,1
177,150,0.0015,0.6,150,1
178,150,0.0015,0.6,150,1
179,150,0.0015,0.6,150,1
180,150,0.0015,0.6,150,1
181,150,0.0015,0.6,150,1
182,150,0.0015,0.6,150,1
183,150,0.0015,0.6,150,1
184,150,0.0015,0.6,150,1
185,150,0.0015,0.6,150,1
186,150,0.0015,0.6,150,1
187,150,0.0015,0.6,150,1
188,150,0.0015,0.6,150,1
189,150,0.0015,0.6,150,1
190,150,0.0015,0.6,150,1
191,150,0.0015,0.6,150,1
192,150,0.0015,0.6,150,1
193,150,0.0015,0.6,150,1
194,150,0.0015,0.6,150,1
195,150,0.0015,0.6,150,1
196,150,0.0015,0.6,150,1
197,150,0.0015,0.6,150,1
198,150,0.0015,0.6,150,1
